,id,title,date,author,technique,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5
515,228313,Ohne Titel (Kasperltheater am Rand des Rummelplatzes),Sommer 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,2 cm",Fotopapiermaß:  24 x 30 cm,,,
516,228377,Ohne Titel (Kasperltheater am Rand des Rummelplatzes),Sommer 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,8 x 26,3 cm",Fotopapiermaß:  24 x 30 cm,,,
517,228378,"Ohne Titel (Frau, aus einem Bierzelt blickend)",September 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,4 x 20,7 cm","Fotopapiermaß:  29,8 x 23,9 cm",,,
518,228379,Ohne Titel (Zwei Frauen aus einem Zelt blickend),September 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,1 cm","Fotopapiermaß:  23,8 x 29,9 cm",,,
519,228380,Ohne Titel (Tische und Stühle in einem Bierzelt),September 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,9 x 26,2 cm",Fotopapiermaß:  24 x 30 cm,Passepartoutmaß:  70 x 50 cm,,
520,228381,Ohne Titel (Abgestelltes Geschirr in einem Zelt),September 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,8 x 26,1 cm",Fotopapiermaß:  24 x 30 cm,,,
521,228382,Ohne Titel (Blick aus einem Bierzelt),September 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,2 cm","Fotopapiermaß:  24 x 30,1 cm",,,
522,228384,Ohne Titel (Schaustellerwagen und Zelte),September 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,2 cm",Fotopapiermaß:  24 x 30 cm,,,
523,228385,"Ohne Titel (Schäferhund, dahinter Zelte)",September 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,2 cm","Fotopapiermaß:  23,9 x 30 cm",Passepartoutmaß:  70 x 50 cm,,
524,228386,Ohne Titel (Hans und Walter Zille auf einem Landweg),Sommer 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,2 cm","Fotopapiermaß:  23,8 x 30 cm",,,
525,228388,Ohne Titel (Schaubuden und Zeltabbau),September 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,2 cm","Blattmaß:  23,9 x 30 cm",Passepartoutmaß:  70 x 50 cm,,
526,228389,"Ohne Titel (Schaubudenrückseiten, Mann und Kinder)",September 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,2 cm",Blattmaß:  24 x 30 cm,,,
527,228390,Ohne Titel (Eingang des Restaurant Schützenzelt),September 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,6 x 20,6 cm","Blattmaß:  30,1 x 23,9 cm",,,
528,228391,"Ohne Titel (Zelte und Schaubuden, verschlossen, ohne Menschen)",September 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,2 cm","Blattmaß:  23,9 x 30 cm",,,
529,228392,Ohne Titel (Pferdefuhrwerk),September 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,2 cm",Blattmaß:  24 x 30 cm,Passepartoutmaß:  70 x 50 cm,,
530,228393,"Ohne Titel (Hof Spandauer Str. 79, Gasthof ""Stadt Ruppin"", das älteste Wirtshaus in Berlin)",Herbst 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,3 x 19,3 cm","Blattmaß:  29,9 x 23,9 cm",,,
531,228394,Ohne Titel (Treppenaufgang am ersten Krögelhof),Herbst 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26 x 18,6 cm","Blattmaß:  29,9 x 23,8 cm",,,
532,228396,"Ohne Titel (Dresden, Blick von den Brühlschen Terassen auf die Frauenkirche)",Herbst 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,5 x 20,6 cm","Blattmaß:  29,9 x 23,8 cm",,,
533,228397,"Ohne Titel (Dresden, Blick von den Brühlschen Terassen auf die Frauenkirche)",Herbst 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,6 x 20,6 cm","Blattmaß:  30 x 23,8 cm",,,
534,228398,Ohne Titel (Walter Zille in einem nicht identifizierten Park),Herbst 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,5 x 20,6 cm","Blattmaß:  29,9 x 23,9 cm",,,
535,228399,"Ohne Titel (Walter, Heinrich, Hulda und Margarete Zille auf einer Wanderung)",Herbst 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,5 x 20,6 cm","Blattmaß:  29,9 x 23,8 cm",,,
536,228400,"Ohne Titel (Margarete, Hulda und Walter Zille posierend)",Herbst 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,8 x 26,2 cm","Blattmaß:  23,9 x 29,9 cm",,,
537,228401,Ohne Titel (Ernestine Louise und Johann Traugott Zille vor ihrem Haus in Rummelsburg),Oktober 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  22,5 x 26,5 cm","Blattmaß:  23,8 x 29,9 cm",Passepartoutmaß:  70 x 50 cm,,
538,228402,Ohne Titel (Ernestine Louise und Johann Traugott Zille am Gartenzaun),Oktober 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,6 x 26,2 cm","Blattmaß:  23,8 x 30 cm",,,
539,228403,"Ohne Titel (Gartentreppe zu einer offenen Laube, vermutlich in Rummelsburg)",Oktober 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,2 cm","Blattmaß:  23,8 x 29,8 cm",,,
540,228404,Ohne Titel (Mädchen vor Häusern stehend),1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,2 cm","Blattmaß:  23,9 x 29,9 cm",,,
541,228405,Ohne Titel (Schuppenwand),1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,2 cm","Blattmaß:  23,9 x 29,9 cm",,,
542,228406,"Ohne Titel (Heinrich und Walter Zille, wahrscheinlich im Umfeld von Rummelsburg)",1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,6 x 26,5 cm","Blattmaß:  23,9 x 29,9 cm",,,
543,228407,"Ohne Titel (Hans, Walter, Johann Traugott und Ernestine Louise Zille im Garten in Rummelsburg)",1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26 cm","Blattmaß:  23,8 x 29,8 cm",Passepartoutmaß:  70 x 50 cm,,
544,228409,"Ohne Titel (Johann Traugott, Ernestine Louise und Heinrich Zille im Garten in Rummelsburg)",1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,5 x 20,6 cm","Blattmaß:  29,9 x 23,8 cm",,,
545,228410,"Ohne Titel (Hirtenstraße 8, Männer mit Handkarren)",1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,1 cm","Blattmaß:  23,9 x 29,8 cm",,,
546,228411,"Ohne Titel (Hirtenstr./Ecke Amalienstraße, ""Destillation Wilhelm Knötzsch"")",Sommer 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,1 cm","Blattmaß:  23,9 x 29,8 cm",,,
547,228412,"Ohne Titel (Linienstraße 20-22, ""Gastwirtschaft & Fremdenlogis"")",Sommer 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,1 cm","Blattmaß:  23,9 x 29,8 cm",,,
548,228413,"Ohne Titel (möglicherweise Parochialstraße, Hausnummer 4 mit Frau und Mann)",Sommer 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,8 x 26,1 cm","Blattmaß:  23,9 x 29,8 cm",,,
549,228414,Ohne Titel (Hans Zille ins Wasser springend),August 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,6 x 26,1 cm","Blattmaß:  23,9 x 29,9 cm",,,
550,228415,Ohne Titel (Hans Zille und zwei unbekannte Jungen im Wasser),August 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,6 x 26,2 cm","Blattmaß:  23,8 x 29,9 cm",,,
551,228416,Ohne Titel (Hans Zille und zwei unbekannte Jungen im Wasser),August 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,6 x 26,2 cm","Blattmaß:  23,8 x 29,9 cm",,,
552,228417,"Ohne Titel (Würstchenstand, Frauen mit Kinderwagen)",Sommer 1898,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,2 x 26,4 cm","Fotopapiermaß:  23,4 x 29,7 cm",,,
553,228418,"Ohne Titel (Reklamewand ""Riesen-Programm"")",August 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,3 x 26,2 cm","Fotopapiermaß:  23,2 x 29,2 cm",,,
554,228419,Ohne Titel (Offenes Zelt mit Tischen und Stühlen),September 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  19,8 x 26,2 cm","Fotopapiermaß:  23,5 x 29,7 cm",,,
555,228420,"Ohne Titel (Hinterer Eingang zum Königl. Polizeipräsidium, An der Stadtbahn, spätere Dircksenstraße)",September 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  27,1 x 20 cm","Fotopapiermaß:  29,8 x 23,6 cm",Passepartoutmaß:  70 x 50 cm,,
556,228421,Ohne Titel (Johann Traugott Zille im Garten stehend),Oktober 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  21,1 x 26,5 cm","Fotopapiermaß:  23,5 x 29,9 cm",,,
557,228425,"Ohne Titel (Bademeister, Rückenansicht)",August 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,5 x 20,6 cm","Blattmaß:  29,9 x 23,8 cm",,,
558,228426,"Ohne Titel (Bademeister, im Seitenprofil)",August 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,5 x 20,6 cm","Blattmaß:  29,9 x 23,8 cm",,,
559,228427,Ohne Titel (Bademeister mit mehreren Jungen),August 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,6 x 20,6 cm","Blattmaß:  29,9 x 23,8 cm",Passepartoutmaß:  70 x 50 cm,,
560,228428,"Ohne Titel (Bademeister, posierend)",August 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,5 x 20,6 cm","Blattmaß:  29,9 x 23,9 cm",,,
561,228429,"Ohne Titel (Bademeister, von vorn)",August 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,5 x 20,6 cm","Blattmaß:  29,9 x 23,9 cm",,,
562,228430,"Ohne Titel (Zweiter Bademeister, am Beckenrand stehend)",August 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,6 x 20,6 cm","Blattmaß:  29,9 x 23,9 cm",,,
563,228431,Ohne Titel (Hans Zille vor den Umkleidekabinen),August 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,6 x 20,6 cm","Blattmaß:  29,9 x 23,9 cm",,,
564,228432,"Ohne Titel (Hans Zille, angelehnt an die Wand einer Umkleidekabine)",August 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,4 x 20,8 cm","Blattmaß:  29,9 x 23,9 cm",Passepartoutmaß:  70 x 50 cm,,
565,228433,"Ohne Titel (Aktstudie, Pose vor dem Spiegel)",August 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,6 x 20,8 cm","Blattmaß:  29,9 x 23,9 cm",Passepartoutmaß:  70 x 50 cm,,
566,228434,"Ohne Titel (Aktstudie, Dornauszieherpose)",August 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,5 x 20,7 cm","Blattmaß:  29,8 x 24 cm",Passepartoutmaß:  70 x 50 cm,,
567,228436,"Ohne Titel (Aktstudie, Standpose, frontal, seitwärts aufgestützt)",August 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,5 x 20,5 cm","Blattmaß:  29,9 x 23,9 cm",,,
568,228437,"Ohne Titel (Aktstudie, Standpose, frontal mit erhobenen Armen)",August 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,6 x 20,6 cm","Blattmaß:  29,8 x 23,9 cm",Passepartoutmaß:  70 x 50 cm,,
569,228438,"Ohne Titel (Aktstudie, Sitzpose, seitwärts auf einen Stock aufgestützt)",August 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,7 x 20,6 cm","Blattmaß:  29,9 x 23,8 cm",Passepartoutmaß:  70 x 50 cm,,
570,228439,"Ohne Titel (Haus mit Vorhof. An der Wand: ""Zu den Kegelbahnen"")",August 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,6 x 26,2 cm","Blattmaß:  23,9 x 29,9 cm",,,
571,228440,Ohne Titel (Kegelbahn mit Kegeljungen),August 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,2 cm","Blattmaß:  23,9 x 29,9 cm",,,
572,228441,Ohne Titel (Waisenstraße in Richtung Parochialhospital/Stralauer Str.),August 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,8 x 26,1 cm","Blattmaß:  23,9 x 29,8 cm",,,
